Trigram,chi-sq
"('raflar', 'bölmeye', 'gizlenmiş')",1335684077684.4802
"('problemi', 'bakkallar', 'duyunca')",1335684077684.4802
"('pişirmiş', 'mantar', 'yemeğini')",1335684077684.4802
"('pip', 'eklemde', 'ampüte')",1335684077684.4802
"('penceresi', 'uygunsuz', 'hareketlerde')",1335684077684.4802
"('pencerede', 'sinekliği', 'pencereyi')",1335684077684.4802
"('patoloji', 'dikkati', 'i̇ncelemeğ')",1335684077684.4802
"('pakette', 'içimlik', 'bonzai')",1335684077684.4802
"('online', 'evinize', 'by')",1335684077684.4802
"('nuri', 'koçal', 'dinlenemez')",1335684077684.4802
"('naim', 'sohbetlerine', 'kodlu')",1335684077684.4802
"('i̇şlemlerde', 'sağlanacak', 'menfaatler')",1335684077684.4802
"('i̇stiklal', 'duruşunda', 'gerilla')",1335684077684.4802
"('i̇ncelemeğ', 'paranazal', 'sinüslerin')",1335684077684.4802
"('ebedi', 'koyulan', 'ergenekon')",1335684077684.4802
"('duyarsak', 'kellesi', 'kellen')",1335684077684.4802
"('doldurulan', 'semptom', 'envanteri')",1335684077684.4802
"('direktifinin', 'essen', 'konseyi')",1335684077684.4802
"('dikkati', 'i̇ncelemeğ', 'paranazal')",1335684077684.4802
"('diistal', 'uçta', 'lineer')",1335684077684.4802
"('devrilmediğini', 'söylediklerinde', 'kabalaşarak')",1335684077684.4802
"('deviasyon', 'nondeplase', 'fraktürün')",1335684077684.4802
"('depozitörünü', 'depozitörün', 'eleğini')",1335684077684.4802
"('deneti̇mli̇', 'serbestli̇k', 'tedbi̇ri̇')",1335684077684.4802
"('deneti̇m', 'süresi̇ne', 'tabi̇')",1335684077684.4802
"('ciltte', 'düzenbislik', 'noktasal')",1335684077684.4802
"('bulbus', 'okuli', 'bilateral')",1335684077684.4802
"('buca', 'seyfi', 'demirsoy')",1335684077684.4802
"('biçimiyle', 'sunumu', 'çaba')",1335684077684.4802
"('bitişiğe', 'tetiğe', 'dokunmak')",1335684077684.4802
"('birliktelik', 'yaşamak', 'buluşmak')",1335684077684.4802
"('beta', 'okur', 'erkul')",1335684077684.4802
"('barsak', 'vena', 'kava')",1335684077684.4802
"('ağabeyinle', 'baban', 'döşememiş')",1335684077684.4802
"('ağabeyini', 'görememenin', 'üzüntüsünü')",1335684077684.4802
"('ankesörlü', 'telefondan', '155')",1335684077684.4802
"('düzenbislik', 'noktasal', 'hiperekojen')",1335684077684.4802
"('ekosistemlerinin', 'öğeleriyle', 'yenileyebilme')",1335684077684.4802
"('itildiğinin', 'tasvir', 'görseldeki')",1335684077684.4802
"('ellisini', 'ülkücü', 'kardeşlerime')",1335684077684.4802
"('iniş', 'yüzeyi', 'buzlu')",1335684077684.4802
"('imalatdaki', 'dökülme', 'korozyon')",1335684077684.4802
"('ilim', 'sanatlar', 'sinema')",1335684077684.4802
"('idrar', 'ultrasona', 'temizliğini')",1335684077684.4802
"('güzellik', 'ölçütlerine', 'gözü')",1335684077684.4802
"('gözü', 'gönlü', 'okşayan')",1335684077684.4802
"('görünüşe', 'ons', 'ekiz')",1335684077684.4802
"('görüntülemenin', 'lobral', 'patolojileri')",1335684077684.4802
"('görselde', 'itildiğinin', 'tasvir')",1335684077684.4802
"('gönlü', 'okşayan', 'beğenilen')",1335684077684.4802
"('gönderiye', 'görselde', 'itildiğinin')",1335684077684.4802
"('girişini', 'sensörlerin', 'ihtimallerinin')",1335684077684.4802
"('girebilecekleri', 'eğlenme', 'dinlenmelerine')",1335684077684.4802
"('gecesinde', 'zülfü', 'elmaştaş')",1335684077684.4802
"('filtreli', 'kabin', 'boyahane')",1335684077684.4802
"('federal', 'marley', 'konseri')",1335684077684.4802
"('eşim', 'yeğenim', 'yeğenimle')",1335684077684.4802
"('eğlenme', 'dinlenmelerine', 'ibadet')",1335684077684.4802
"('ezeli', 'ebedi', 'koyulan')",1335684077684.4802
"('eyrenci', 'taşkent', 'ulucan')",1335684077684.4802
"('eserinin', 'işletilmesindeki', 'eksikliklerden')",1335684077684.4802
"('uygunsuz', 'hareketlerde', 'oluğunu')",1335684077684.4802
